skill_name,multiplier
stata,17.054054054054053
quantitativeresearch,8.845794392523365
sql,2.7474600870827284
python,3.0
tableau,9.144927536231885
organizational,27.434782608695652
communication,5.200549450549451
productmanagement,378.6
interpersonal,4.1152173913043475
excel,3.292173913043478
research,14.561538461538461
teamwork,8.527027027027026
reimbursementaccessenvironment,24.584415584415584
leadership,19.71875
planning,6.268211920529802
visualization,9.658163265306122
interpretation,31.55
timemanagement,21.033333333333335
javascript,378.6
ssis,210.33333333333334
projectmanagement,46.170731707317074
r,15.266129032258064
word,105.16666666666667
gis,378.6
problemsolving,45.07142857142857
criticalthinking,47.325
visio,210.33333333333334
dataanalysis,94.65
oracle,86.04545454545455
sap,70.11111111111111
spss,135.21428571428572
statistics,157.75
presentation,59.15625
datamanagement,210.33333333333334
attention,270.42857142857144
production,111.3529411764706
analytics,135.21428571428572
databases,157.75
sas,57.36363636363637
googledatastudio,111.3529411764706
salesforce,118.3125
retail,270.42857142857144
marketing,236.625
stakeholdermanagement,315.5
vba,54.08571428571429
matlab,145.6153846153846
decisionmaking,236.625
ssas,315.5
informationsecurity,189.3
datascience,315.5
outlook,270.42857142857144
agile,236.625
hadoop,172.0909090909091
pyspark,378.6
unix,315.5
perl,270.42857142857144
businessintelligence,315.5
aws,99.63157894736842
consulting,236.625
