skill_name,translate
access,access
agile,agile
alteryx,alteryx
amazon,amazon
analytics,analytics
dataanalysis,dataanalysis
javascript,javascript
architecture,architecture
artificialintelligence,artificialintelligence
asp.net,asp.net
attention,attention
audit,audit
aws,aws
azure,azure
banking,banking
budgetary,budgetary
businessintelligence,businessintelligence
business,business
c#,c#
chatbot,chatbot
cloud,cloud
cmg,cmg
cognos,cognos
collaboration,collaboration
communication,communication
consulting,consulting
continuousimprovement,continuousimprovement
criticalthinking,criticalthinking
crmplatforms,crmplatforms
css,css
customerservice,customerservice
databases,databases
datamanagement,datamanagement
datascience,datascience
visualization,visualization
datawarehouse,datawarehouse
decisionmaking,decisionmaking
devops,devops
digital,digital
drilling,drilling
ecommerse,ecommerse
english,english
excel,excel
exploration,exploration
federaltaxlegislation,federaltaxlegislation
finance,finance
forecasting,forecasting
french,french
gis,gis
git,git
golang,golang
adwords,adwords
googledatastudio,googledatastudio
governance,governance
groceryretail,groceryretail
hadoop,hadoop
healthcare,healthcare
html,html
hubspot,hubspot
informationsecurity,informationsecurity
informationsystemsstrategy,informationsystemsstrategy
infrastructure,infrastructure
insurance,insurance
interpersonal,interpersonal
interpretation,interpretation
java,java
judgment,judgment
leadership,leadership
management,management
machinelearning,machinelearning
marketing,marketing
matlab,matlab
military,military
mobile,mobile
msoffice,msoffice
sql,sql
multipleprojects,multipleprojects
nonrelationaldatabases,nonrelationaldatabases
openvas,openvas
operational,operational
optimization,optimization
oracle,oracle
organizational,organizational
outlook,outlook
perl,perl
php,php
planning,planning
portfolio,portfolio
presentation,presentation
prioritization,prioritization
problemsolving,problemsolving
procura,procura
production,production
productdevelopment,productdevelopment
productmanagement,productmanagement
projectmanagement,projectmanagement
projectplanning,projectplanning
pyspark,pyspark
python,python
qualitativeanalysis,qualitativeanalysis
quantitativeresearch,quantitativeresearch
r,r
realestatebusiness,realestatebusiness
reimbursementaccessenvironment,reimbursementaccessenvironment
research,research
resourcemanagement,resourcemanagement
retail,retail
riskmanagement,riskmanagement
sas,sas
salesforce,salesforce
sap,sap
scala,scala
scrum,scrum
servicedeliverymanagement,servicedeliverymanagement
sheets,sheets
slack,slack
spark,spark
spss,spss
ssas,ssas
ssis,ssis
stakeholdermanagement,stakeholdermanagement
stata,stata
statistics,statistics
studentinformationsystem,studentinformationsystem
survey,survey
systemanalysis,systemanalysis
tableau,tableau
teamwork,teamwork
writing,writing
timemanagement,timemanagement
unix,unix
vba,vba
verbalcommunicationskills,verbalcommunicationskills
visio,visio
visual,visual
wcag,wcag
web,web
word,word
