,,Influence,Influence,Influence,Influence
,,mean,quantile25,median,quantile75
Level,high,,,,
canuse,Lower-Bound,-14.839020660158482,-17.994027829431793,-8.677630901277322,-8.603318611444593
canuse,Upper-Bound,-19.657855507224934,-25.410110391051294,-18.34122524374505,-13.247285491658634
effective,Lower-Bound,1.1366281542412668,-13.40102749109817,-5.6770913792916105,3.235525134352052
effective,Upper-Bound,-1.5379584128392596,-25.475893751593016,-16.482777050408835,27.685352506216383
excellent,Lower-Bound,0.5952492048490401,-9.238777347252281,-2.407824435266903,5.841686420313019
excellent,Upper-Bound,-0.18826759027034565,-13.324589112925189,-5.295222057371285,3.4202734478259056
exceptional,Lower-Bound,-4.851400380522122,-11.686357128132656,-4.6718991110835715,1.9471904570332597
exceptional,Upper-Bound,-13.387990889512684,-23.275860390729687,-15.724120184523432,-1.7714928517884698
experience,Lower-Bound,-0.4373901405338666,-11.43938851515255,-2.3964111012659606,9.16601631921618
experience,Upper-Bound,0.5843263407182671,-10.569223048153834,-2.0094395574912105,9.036773668200842
expertise,Lower-Bound,-3.5318473419791663,-12.393616787502499,0.0,7.095845774533749
expertise,Upper-Bound,1.1233702570889215,-3.3164597745604985,0.0,5.001515160193881
familiar,Lower-Bound,1.6409797288923882,-10.609483538001802,-2.910276488393415,4.152972753698658
familiar,Upper-Bound,11.623175162628904,-7.4286166262231665,-1.4345959526479546,10.904929176238376
goodat,Lower-Bound,5.296692658343798,-8.149347202397223,-0.53805736796535,8.359876398613286
goodat,Upper-Bound,3.890573080177999,-10.045147410925198,-3.3543650639680678,8.630690541624652
know,Lower-Bound,-1.0939900528720077,-9.616770252125477,-1.2868079291032564,7.013325862551845
know,Upper-Bound,-0.7948657123120516,-9.910146386609123,-2.125240350020985,4.435127859781785
proficient,Lower-Bound,0.5771588381485729,-8.792092411170154,-1.403086153936095,6.198839527549094
proficient,Upper-Bound,-2.9329449124696083,-13.237670060634095,-5.428346880629004,2.253976301519389
profound,Lower-Bound,-4.160481898212556,-27.372625261970377,-4.114266122296629,19.00112276573332
profound,Upper-Bound,5.132653175303374,1.0391060791991147,6.117571291360469,10.887509555817015
skill,Lower-Bound,23.993970510628024,-10.677633910613517,-0.42182387144688027,20.966530547558577
skill,Upper-Bound,13.388553068728749,-12.276474636246032,1.36026136619537,25.39081984771625
specialist,Lower-Bound,1.3394355474860122,-7.987540927955522,0.2856203540650748,6.334306648162313
specialist,Upper-Bound,-0.039538572334725304,-7.70326594155345,-0.7819258343482294,4.0734364895751
strong,Lower-Bound,-0.44600365271853365,-10.14226949204376,-2.8411377228190426,5.817118587743142
strong,Upper-Bound,-0.050569023527553936,-13.073933447367553,-3.3101695798879893,6.016446667989883
understand,Lower-Bound,-1.2353667088634055,-9.940930622576586,-2.324207908789089,5.774794356535767
understand,Upper-Bound,-0.9418992450569615,-16.638858193213427,-8.064973227262401,4.8671353772422155
